freq_over_symbol_rate,alpha_0.0_db,alpha_0.2_db,alpha_0.35_db,alpha_0.5_db,alpha_1.0_db
-1.07421875,-34.74875809161715,-30.11287636749058,-30.719867053263922,-36.657390808669696,-48.17773467542278
-1.0703125,-34.27856487706015,-29.962368017313374,-30.73876671470952,-37.0249230288304,-51.79547177091063
-1.06640625,-33.845974690354545,-29.833855165027362,-30.781241860422597,-37.44275574130915,-58.7637045771705
-1.0625,-33.4479802754302,-29.727002635403302,-30.847893096307928,-37.9170850704537,-68.94112151583012
-1.05859375,-33.08207436567353,-29.641591997670254,-30.939481044286815,-38.45571460605607,-54.1544924170417
-1.0546875,-32.74615692498267,-29.57751717601741,-31.05694482710625,-39.0686338534893,-48.737984751187646
-1.05078125,-32.43846427995868,-29.53478238996338,-31.20142599844855,-39.76888724993238,-45.27454720445355
-1.046875,-32.15751440329036,-29.5135023349901,-31.374299287560564,-40.57392809954273,-42.690764465534485
-1.04296875,-31.902064320637393,-29.513904611177445,-31.57721204392521,-41.50782280631856,-40.61121535951767
-1.0390625,-31.67107677137472,-29.536334505490537,-31.812134995514732,-42.60503884694379,-38.85988357855078
-1.03515625,-31.463694052697853,-29.581262339260515,-32.0814279819573,-43.9174140523269,-37.33993950197703
-1.03125,-31.279217538823726,-29.649293714584605,-32.387925863235196,-45.528172423773924,-35.99235913292602
-1.02734375,-31.11709177036948,-29.741183142130595,-32.73505211486759,-47.58375702051975,-34.77847705166462
-1.0234375,-30.976892304428425,-29.857851721745085,-33.12697116916538,-50.38025594708904,-33.67157146276049
-1.01953125,-30.858316737455922,-30.000409795186172,-33.56879615290949,-54.678986198527696,-32.65239318541755
-1.015625,-30.76117848414432,-30.170185824307815,-34.06687773292965,-63.95188651677489,-31.706609291794095
-1.01171875,-30.68540303246781,-30.368763208085845,-34.6292149441246,-64.3995905342739,-30.823254616040543
-1.0078125,-30.63102651009158,-30.598027398374583,-35.266055193348286,-54.59630157287538,-29.993748931098633
-1.00390625,-30.598196499757712,-30.860226600434288,-35.990798287088865,-50.052468965159406,-29.21124860056593
-1.0,-30.58717513898149,-31.158050697219824,-36.8214099979174,-47.0517042650043,-28.47020475719807
-0.99609375,-30.598344639767042,-31.494735053899415,-37.78273366122118,-44.805583452434306,-27.76605375659858
-0.9921875,-30.632215474736935,-31.874198935024527,-38.91048493670964,-43.010660769070334,-27.094995047183307
-0.98828125,-30.689437605947386,-32.30123307241585,-40.25865461218723,-41.51769453491951,-26.45382840147016
-0.984375,-30.770815292917646,-32.78175863686301,-41.91453990596614,-40.24218381225191,-25.839832427657417
-0.98046875,-30.877326222089533,-33.32319263816894,-44.033349413268546,-39.131642651029786,-25.250672397013354
-0.9765625,-31.01014597216189,-33.93497667138647,-46.934139737055595,-38.151255764342615,-24.68432928298305
-0.97265625,-31.170679199121874,-34.62936499869811,-51.46378725781528,-37.27676890206616,-24.139044407258744
-0.96875,-31.360599436834185,-35.42264103688534,-61.91328792052517,-36.49063421520771,-23.613275743491826
-0.96484375,-31.581900132978227,-36.33707582502732,-59.14270222491624,-35.779771840417766,-23.105663048476494
-0.9609375,-31.836960583570708,-37.4042475777585,-50.33674820178028,-35.13419748886044,-22.614999761373376
-0.95703125,-32.128631963402434,-38.671043013424104,-46.006426986748835,-34.54614315542862,-22.140210151337033
-0.953125,-32.460350953110336,-40.21145007756946,-43.10102427917424,-34.0094729797022,-21.68033057781257
-0.94921875,-32.836292002045276,-42.152489950274095,-40.90975663504888,-33.519283309405395,-21.234494004667223
-0.9453125,-33.261574840761924,-44.74125774826643,-39.15063354016014,-33.07162190971746,-20.801917111646976
-0.94140625,-33.74255289111527,-48.56947451779136,-37.68270509974242,-32.663286683918415,-20.381889496260076
-0.9375,-34.287223337515364,-55.8423379117818,-36.4253368006206,-32.29167895915996,-19.973764571053753
-0.93359375,-34.905825853890526,-65.25674363237646,-35.328074990754736,-31.954695195184346,-19.57695184575508
-0.9296875,-35.61174446418546,-51.22305749968115,-34.35726207421277,-31.650646426212035,-19.190910348198184
-0.92578125,-36.42291732766988,-46.04758886415916,-33.48933937215146,-31.378198225570273,-18.815142987558232
-0.921875,-37.364141435217995,-42.78846351419056,-32.707190003574205,-31.136326267511784,-18.44919170190104
-0.91796875,-38.471053969769486,-40.399388418073514,-31.998003056334753,-30.924284105909553,-18.092633262160135
